Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FL;FR;RL;RR
2017-04-17;12:06:52:9266;3424;5;0;549;75;632;523;228;
2017-04-17;12:06:52:9266;3434;5;0;549;75;631;523;227;
2017-04-17;12:06:52:9266;3444;5;0;548;73;632;523;228;
2017-04-17;12:06:52:9266;3454;4;0;548;74;632;523;227;
2017-04-17;12:06:52:9266;3464;5;0;549;75;632;523;228;
2017-04-17;12:06:52:9267;3474;5;0;551;76;632;523;228;
2017-04-17;12:06:52:9267;3484;5;0;553;76;632;522;228;
2017-04-17;12:06:52:9267;3494;4;0;553;77;632;523;228;
2017-04-17;12:06:52:9267;3504;4;0;549;76;632;523;228;
2017-04-17;12:06:52:9267;3514;4;0;546;77;633;523;228;
2017-04-17;12:06:52:9267;3524;5;0;543;76;633;522;228;
2017-04-17;12:06:52:9267;3534;5;0;546;77;633;522;228;
2017-04-17;12:06:52:9267;3544;5;0;550;76;633;522;228;
2017-04-17;12:06:52:9268;3554;5;0;552;76;633;522;228;
2017-04-17;12:06:52:9268;3564;5;0;548;76;633;522;228;
2017-04-17;12:06:52:9581;3574;5;0;541;76;633;522;228;
2017-04-17;12:06:52:9581;3584;5;0;535;76;633;522;228;
2017-04-17;12:06:52:9581;3594;5;0;530;77;633;522;228;
2017-04-17;12:06:52:9905;3604;5;0;525;76;633;522;228;
2017-04-17;12:06:52:9905;3614;5;0;518;76;633;523;228;
2017-04-17;12:06:52:9905;3624;5;0;512;77;633;523;228;
2017-04-17;12:06:53:0226;3634;5;0;508;77;633;522;228;
2017-04-17;12:06:53:0226;3644;5;0;503;76;633;522;228;
2017-04-17;12:06:53:0226;3654;5;0;500;76;633;522;228;
2017-04-17;12:06:53:0406;3664;5;0;497;78;633;522;228;
2017-04-17;12:06:53:0407;3674;4;0;496;78;633;523;228;
2017-04-17;12:06:53:0778;3684;4;0;498;77;633;523;228;
2017-04-17;12:06:53:0778;3694;4;0;500;77;633;523;228;
2017-04-17;12:06:53:0778;3704;4;0;501;77;633;522;228;
2017-04-17;12:06:53:0778;3714;4;0;506;76;633;522;228;
2017-04-17;12:06:53:1073;3724;4;0;509;76;633;522;228;
2017-04-17;12:06:53:1073;3734;4;0;512;77;633;522;228;
2017-04-17;12:06:53:1073;3744;4;0;511;77;633;523;228;
2017-04-17;12:06:53:1386;3755;4;0;512;77;633;523;228;
2017-04-17;12:06:53:1387;3765;4;0;511;77;633;522;228;
2017-04-17;12:06:53:1387;3775;4;0;511;77;633;522;228;
2017-04-17;12:06:53:1659;3785;4;0;511;77;634;523;228;
2017-04-17;12:06:53:1660;3795;4;0;511;77;634;523;228;
2017-04-17;12:06:53:1661;3805;5;0;512;75;634;523;228;
2017-04-17;12:06:53:1941;3815;4;0;513;75;634;523;228;
2017-04-17;12:06:53:1942;3825;4;0;513;75;634;523;228;
2017-04-17;12:06:53:2242;3835;4;0;513;75;634;523;228;
2017-04-17;12:06:53:2242;3845;4;0;513;74;634;523;228;
2017-04-17;12:06:53:2243;3855;4;0;514;75;634;522;228;
2017-04-17;12:06:53:2612;3865;4;0;515;77;634;522;228;
2017-04-17;12:06:53:2612;3875;4;0;518;77;634;522;228;
2017-04-17;12:06:53:2612;3885;5;0;517;75;634;522;228;
2017-04-17;12:06:53:2612;3895;4;0;516;74;634;522;228;
2017-04-17;12:06:53:2937;3905;5;0;514;74;634;523;228;
2017-04-17;12:06:53:2938;3915;4;0;514;74;634;522;228;
2017-04-17;12:06:53:2938;3926;5;0;514;74;634;522;228;
2017-04-17;12:06:53:3287;3936;4;0;514;74;634;522;228;
2017-04-17;12:06:53:3288;3946;4;0;513;73;634;522;228;
2017-04-17;12:06:53:3288;3956;4;0;513;74;634;522;228;
2017-04-17;12:06:53:3289;3966;4;0;515;73;634;522;229;
2017-04-17;12:06:53:3616;3976;4;0;516;73;634;522;229;
2017-04-17;12:06:53:3617;3986;5;0;516;73;634;522;229;
2017-04-17;12:06:53:3617;3996;5;0;517;73;634;522;229;
2017-04-17;12:06:53:4083;4006;5;0;518;73;634;522;229;
2017-04-17;12:06:53:4083;4016;4;0;519;73;634;522;229;
2017-04-17;12:06:53:4083;4026;5;0;519;72;634;522;229;
2017-04-17;12:06:53:4083;4036;5;0;521;72;634;522;229;
2017-04-17;12:06:53:4083;4046;5;0;523;74;634;522;229;
2017-04-17;12:06:53:4423;4056;5;0;523;73;634;522;229;
2017-04-17;12:06:53:4423;4066;5;0;521;73;634;522;229;
2017-04-17;12:06:53:4423;4076;5;0;517;74;634;522;229;
2017-04-17;12:06:53:4595;4086;5;0;515;74;634;522;229;
2017-04-17;12:06:53:4596;4096;5;0;514;73;635;522;229;
